Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
23393485376,REJUVEX VINTEX BY VONIXX 400G COM APLICADOR VONIXX,"39,99",40,GHSPEÇAS,7%,"R$2,80",https://shopee.com.br/product/421564179/23393485376,https://s.shopee.com.br/4fpgs6yQGG
23993480459,REJUVEX VINTEX BY VONIXX 400G COM APLICADOR VONIXX,"38,80",2,FastPeças,7%,"R$2,72",https://shopee.com.br/product/531765376/23993480459,https://s.shopee.com.br/4q974PxmvJ
27063699808,Cera Carnauba 120ml Automotiva Protetora Hybrid Wax Vonixx,"59,00",44,Loja do Som e Acessórios,11%,"R$6,49",https://shopee.com.br/product/341544056/27063699808,https://s.shopee.com.br/50SXGix9aM
22393594287,Kit Cuidados Automotivos Fácil e Prático Shampoo Cera Finalização,"184,90",0,Loja do Som e Acessórios - 3,10%,"R$18,49",https://shopee.com.br/product/1273324128/22393594287,https://s.shopee.com.br/5AlxT1wWFP
19897921519,Cera Carnauba Vonixx Automotiva Protetora 120ml Hybrid Wax,"58,32",12,Loja do Som e Acessórios - 3,10%,"R$5,83",https://shopee.com.br/product/1273324128/19897921519,https://s.shopee.com.br/40a04t0xcC
20999569962,Cera liquida Carnaúba Native Wax 500ml Vonixx,"53,99",3,C2B STORE,10%,"R$5,40",https://shopee.com.br/product/495071794/20999569962,https://s.shopee.com.br/4AtQHC0KHF
23793597081,Lava A Seco Automotivo Com Cera De Carnaúba V-eco Pro Vonixx,"76,99",4,C2B STORE,10%,"R$7,70",https://shopee.com.br/product/495071794/23793597081,https://s.shopee.com.br/4LCqTUzgwI
20199571390,CERA BLEND VITRIFICADORA AUTOMOTIVA SPRAY 500ML VONIXX,"69,99",12,PRUDENPARTS DISTRIBUIDORA,9%,"R$6,30",https://shopee.com.br/product/389206314/20199571390,https://s.shopee.com.br/4VWGfnz3bL
23998094570,CERA CARNAÚBA PLUS LIMPA E PROTEGE 500ML VONIXX,"39,99",6,PRUDENPARTS DISTRIBUIDORA,9%,"R$3,60",https://shopee.com.br/product/389206314/23998094570,https://s.shopee.com.br/60L4SYtLYe
22298139766,V-ECO FAST LAVAGEM A SECO COM CERA AUTOMOTIVA 500ML VONIXX,"39,99",4,PRUDENPARTS DISTRIBUIDORA,9%,"R$3,60",https://shopee.com.br/product/389206314/22298139766,https://s.shopee.com.br/6AeUersiDh
21899499541,Cera Carnauba Automotiva Protetora Hybrid Wax 120ml Vonixx,"52,83",3,Loja do Som e Acessórios2,10%,"R$5,28",https://shopee.com.br/product/800059202/21899499541,https://s.shopee.com.br/6KxurAs4sk
20397991946,Cera liquida Carnaúba Native Wax 500ml Vonixx,"61,99",2,C2B STORE,10%,"R$6,20",https://shopee.com.br/product/495071794/20397991946,https://s.shopee.com.br/6VHL3TrRXn
20599571344,"CERA CARNAÚBA EXPRESS ULTRA PINTURA E PLÁSTICO 1,5L VONIXX","96,50",1,PRUDENPARTS DISTRIBUIDORA,9%,"R$8,69",https://shopee.com.br/product/389206314/20599571344,https://s.shopee.com.br/5L5NfKvsua
20699322160,Shampoo V-Floc Concentrado Cera Tok Final Manutenção Brilho Vonixx,"145,53",1,Loja do Som e Acessórios,11%,"R$16,01",https://shopee.com.br/product/341544056/20699322160,https://s.shopee.com.br/5VOnrdvFZd
18897729597,Kit Lavagem Rápida e Eficiente Shampoo Concentrado+Cera Blend Spray Carnúba+Toalha e Luva Microfibra,"135,99",0,Loja do Som e Acessórios,11%,"R$14,96",https://shopee.com.br/product/341544056/18897729597,https://s.shopee.com.br/5fiE3wucEg
19199325753,Kit Shampoo V-Floc Cera Blend Sintra Fast Intense Vonixx + Pinceis Detalhamento,"215,82",0,Loja do Som e Acessórios,11%,"R$23,74",https://shopee.com.br/product/341544056/19199325753,https://s.shopee.com.br/5q1eGFtytj
22893589591,Kit Shampoo V-floc concentrado + Cera de Finalização Blend Spray + Toalha e Luva Microfibra,"156,90",0,Loja do Som e Acessórios - 3,10%,"R$15,69",https://shopee.com.br/product/1273324128/22893589591,https://s.shopee.com.br/7KqS30oGr2
23898094458,CERA CARNAÚBA TOK FINAL AUTOMOTIVA 500ML VONIXX,"43,99",13,PRUDENPARTS DISTRIBUIDORA,9%,"R$3,96",https://shopee.com.br/product/389206314/23898094458,https://s.shopee.com.br/7V9sFJndW5
20299571405,CERA BLEND BLACK CARNAÚBA E SÍLICA SPRAY 500ML VONIXX,"69,99",0,PRUDENPARTS DISTRIBUIDORA,9%,"R$6,30",https://shopee.com.br/product/389206314/20299571405,https://s.shopee.com.br/7fTIRcn0B8
18298055026,NATIVE CERA LIQUIDA CARNAÚBA SPRAY WAX 500ML VONIXX,"69,99",0,PRUDENPARTS DISTRIBUIDORA,9%,"R$6,30",https://shopee.com.br/product/389206314/18298055026,https://s.shopee.com.br/7pmidvmMqB
23698010098,Focus Vonixx Polidor Tira Mancha Chuva Ácida Marca De Água,"53,90",189,ROADPLAST,13%,"R$7,01",https://shopee.com.br/product/324690848/23698010098,https://s.shopee.com.br/6falFmqoCy
28041463597,Snow Foam Manual Vonixx Snowfall Borrifador Automotivo De Pressão Pulverizador 2 Litros Espuma,"42,89",341,Mayslee Loja Oficial,8%,"R$3,43",https://shopee.com.br/product/1478672569/28041463597,https://s.shopee.com.br/6puBS5qAs1
19299560604,Lava Auto Super Concentrado V-Floc 5 litros Vonixx,"168,00",103,Elite Label BR,14%,"R$23,52",https://shopee.com.br/product/844590786/19299560604,https://s.shopee.com.br/70DbeOpXX4
18898038434,Blend All In One 2.0 Vonixx Composto Polidor Corte Lustro Refino,"94,99",18,MEGACOM,12%,"R$11,40",https://shopee.com.br/product/754711771/18898038434,https://s.shopee.com.br/7AX1qhouC7
18499597280,Renovador De Plastico E Borrachas Rejuvex 400g Aplicador Zacs Vonixx,"60,00",61,ND Fast,15%,"R$9,00",https://shopee.com.br/product/1231347115/18499597280,https://s.shopee.com.br/8fLpdSjC9Q
22498165032,Strike Removedor de Piche e Cola 500ml Vonixx,"55,99",112,MEGACOM,12%,"R$6,72",https://shopee.com.br/product/754711771/22498165032,https://s.shopee.com.br/8pfFpliYoT
20297982393,"REMOVEX 1,5L VONIXX","28,70",135,BSHOP AUTO,7%,"R$2,01",https://shopee.com.br/product/1166317321/20297982393,https://s.shopee.com.br/8zyg24hvTW
23393485327,Rejuvex Revitalizador Plástico + Aplicador Vonixx,"38,80",248,GHSPEÇAS,7%,"R$2,72",https://shopee.com.br/product/421564179/23393485327,https://s.shopee.com.br/9AI6ENhI8Z
18897797037,Produto Para Limpar Painel Sintra Fast + Intense Vonixx,"94,08",468,BSHOP AUTO,7%,"R$6,59",https://shopee.com.br/product/1166317321/18897797037,https://s.shopee.com.br/8068qEljVM
20599555625,MAKKER 500ML VONIXX,"48,00",129,BSHOP AUTO,7%,"R$3,36",https://shopee.com.br/product/1166317321/20599555625,https://s.shopee.com.br/8APZ2Xl6AP
19897975100,Kit Produtos para Estética Automotiva Vonixx V-Mol Strike Delet e Restaurax,"177,48",6,GHSPEÇAS,7%,"R$12,42",https://shopee.com.br/product/421564179/19897975100,https://s.shopee.com.br/8KizEqkSpS
22693605882,Kit da Vonixx Restaurax V-Floc Sintra V Mol Borrifador 2 Aplicador Zacs,"250,00",25,Fonte.do Brilho,14%,"R$35,00",https://shopee.com.br/product/322584913/22693605882,https://s.shopee.com.br/8V2PR9jpUV
23597985248,KIT COMPLETO VONIXX V-FLOC RESTAURAX SINTRA DARKER PRIZM REVOX BLEND BLACK E DELET,"284,00",5,ACVG DISTRIBUIDOR AUTORIZADA VONIXX,10%,"R$28,40",https://shopee.com.br/product/422902759/23597985248,https://s.shopee.com.br/9zrDDue7Ro
20297975081,Restaurax 500ml Revitalizador De Plástico + Intense Vonixx,"81,48",133,FastPeças,7%,"R$5,70",https://shopee.com.br/product/531765376/20297975081,https://s.shopee.com.br/AAAdQDdU6r
23298129642,Makker Maquiador Automotivo Esconde Defeitos Vonixx,"51,74",41,Detailers Pro,7%,"R$3,62",https://shopee.com.br/product/978343468/23298129642,https://s.shopee.com.br/AKU3cWcqlu
22997994951,Restaurax Restaurador Revitalizador de Plástico Vonixx 500ml,"69,90",113,Detailers Pro,7%,"R$4,89",https://shopee.com.br/product/978343468/22997994951,https://s.shopee.com.br/AUnTopcDQx
20597991973,Kit Shampoo Automotivo Sujeira Pesada V-Mol + V Floc 500ml Vonixx,"57,14",11,Loja do Som e Acessórios - 3,10%,"R$5,71",https://shopee.com.br/product/1273324128/20597991973,https://s.shopee.com.br/9KbWQggenk
22298086174,Rejuvex Black com aplicador zacs 400g Vonixx Vintex Revitalizador De Plásticos,"39,99",24,GHSIMPORTS,7%,"R$2,80",https://shopee.com.br/product/443743118/22298086174,https://s.shopee.com.br/9Uuwczg1Sn
22893489469,V-MOL 500ML VONIXX,"28,16",7,GHSPEÇAS,7%,"R$1,97",https://shopee.com.br/product/421564179/22893489469,https://s.shopee.com.br/9fEMpIfO7q
23098043147,"DARKER 1,5L VONIXX","54,90",179,BSHOP AUTO,7%,"R$3,84",https://shopee.com.br/product/1166317321/23098043147,https://s.shopee.com.br/9pXn1bekmt
22793258848,Kit Shampoo Automotivo Sujeira Pesada V-Floc + V-Mol 500ml Vonixx,"56,91",74,Loja do Som e Acessórios,11%,"R$6,26",https://shopee.com.br/product/341544056/22793258848,https://s.shopee.com.br/qcyJ4D13A
23993480423,Rejuvex Vonixx Revitalizador Plásticos Para-Choque + Aplicador e Luva,"39,99",41,FastPeças,7%,"R$2,80",https://shopee.com.br/product/531765376/23993480423,https://s.shopee.com.br/gJY6lDeO9
23493551108,"Restaurador Vidro Prizm Remove Mancha Chuva Ácida 1,5 Vonixx","76,00",60,Elite Label BR,14%,"R$10,64",https://shopee.com.br/product/844590786/23493551108,https://s.shopee.com.br/1BFohgBkNG
